loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2,0,0,1.6179790412084873,1.6330517066580923,12,1.0327924065085647,2400000,17600000,22700000,8000000,0
2,0,1,1,-0.3417495581237115,-0.32441405900702774,8,-1.0610511817096373,2700000,2200000,8800000,3300000,1
3,3,0,0,1.4398218958146511,1.6109334494189382,20,-0.5448404355838201,7100000,4500000,33300000,12800000,1
4,3,0,0,1.119139034105746,1.7215247356147079,8,-0.7710451445603018,18200000,3300000,23300000,7900000,1
5,5,1,1,1.6892418993660219,1.0026813753422061,20,-1.2640554077141721,12400000,8200000,29400000,5000000,1
6,0,0,1,-0.09232955457234074,-0.1806453869525274,10,-1.6294630145223348,6800000,8300000,13700000,5100000,1
7,5,0,0,1.297296179499582,1.9758846938649777,4,0.45278033220989383,22500000,14800000,29200000,4300000,0
8,2,0,1,0.22835330713656452,-0.014758457658873165,20,-1.2640554077141721,13200000,5700000,11800000,6000000,1
9,0,0,1,-1.5175867177230307,-1.4303269209647227,20,1.0559928894805115,1300000,800000,2800000,600000,0
10,5,1,0,-1.410692430486729,-1.1980852199536067,10,-1.2292546832562519,3200000,1400000,3300000,1600000,1
11,4,0,1,-0.7693267070689185,-0.4350053452027972,2,-0.307035485121365,8100000,4700000,9500000,3100000,0
12,2,1,1,0.5846675979242371,0.8367944460485519,18,-0.3592365718082454,15300000,5800000,20400000,6400000,1
13,3,1,1,-0.02106669641480624,-0.3907688307244894,16,-1.6758639804662283,6400000,9600000,14600000,4300000,1
14,2,0,1,1.4398218958146511,1.8099977645713234,14,0.4585804529528806,10800000,16600000,20900000,5000000,0
15,1,1,0,-1.125640997856591,-0.8552522327467212,6,-0.7594449030743283,1900000,1200000,5900000,1900000,1
16,5,1,0,-0.127960983651108,-0.490300988300682,10,1.125594338396352,5700000,3900000,16400000,4400000,0
17,2,0,1,-1.6244810049593326,-1.4966816926821844,4,0.36577852106509323,1300000,100000,1300000,700000,0
18,4,1,1,-0.7693267070689185,-0.6340696603551823,14,1.0443926479945382,2900000,2800000,6700000,4300000,0
19,2,0,0,-0.840589565226453,-0.5345375027789898,10,0.789187335303123,1000000,0,6200000,3300000,0
20,5,0,0,0.442141881609168,-0.05899497213718096,12,0.3019771928922394,10300000,3500000,23500000,5900000,0
21,2,0,0,-0.02106669641480624,0.4718432016025126,12,-1.6526634974942815,9500000,1600000,18000000,6100000,1
22,4,0,0,0.26398473621533175,-0.12534974385464265,16,-0.4056375377521391,3800000,11300000,22200000,5400000,1
23,4,0,1,0.5134047397667025,1.1685683046358604,18,-1.6758639804662283,13100000,1700000,19500000,8500000,1
24,0,1,1,-1.6244810049593326,-1.5187999499213383,2,-0.2838350021494182,900000,600000,1100000,300000,0
25,0,1,0,-0.05669812549357349,-0.5898331458768745,16,-1.6004624108074013,3800000,8700000,10000000,3300000,1
26,5,1,0,-0.698063848911384,-0.6230105317356054,20,-0.4984394696399264,7900000,3100000,6600000,2600000,1
27,4,0,0,1.119139034105746,1.433987391505707,12,0.5571825055836546,11500000,10600000,25300000,7200000,0
28,4,1,1,-0.9474838524627548,-1.0543165478991063,4,0.3599784003221065,4500000,4200000,5400000,2500000,0
29,5,1,1,0.6915618851605387,0.9805631181030523,6,-1.5308609618915607,2300000,11900000,27500000,9700000,1
30,3,1,1,1.4041904667358838,1.8099977645713234,10,1.450401100003608,21800000,12400000,33700000,8000000,0
31,2,1,0,1.6892418993660219,1.1243317901575527,12,-1.664263738980255,20200000,5200000,25500000,9300000,1
32,2,0,0,0.22835330713656452,-0.34653231624618164,6,-1.3742577018309194,3600000,7400000,21700000,4300000,1
33,1,1,1,-1.5175867177230307,-1.4966816926821844,10,-0.9508488875928898,700000,200000,2200000,1000000,1
34,5,1,1,1.1904018922632802,0.7593805457115133,2,1.3343986851438736,3800000,3900000,19900000,5400000,0
35,3,0,0,-0.05669812549357349,-0.3575914448657586,8,0.06997236317277106,9700000,1200000,19000000,5800000,0
36,2,0,1,-1.1969038560141254,-1.2976173775297992,8,0.528181901868721,2700000,2800000,6000000,900000,0
37,3,1,0,-1.2325352850928928,-0.9879617761816447,18,0.20917526100445208,3400000,700000,5300000,1400000,0
38,5,0,1,1.0478761759482114,1.3344552339295146,6,-1.4612595129757202,6400000,300000,16700000,7100000,1
39,5,0,0,-0.5199067035175478,-0.8220748468879905,16,1.3343986851438736,7000000,1300000,10000000,2900000,0
40,3,1,1,-1.26816671417166,-1.1096121909969912,6,-1.4380590300037732,100000,200000,5600000,900000,1
41,1,0,0,0.9766133177906767,0.32807452954801225,2,0.649984437471442,8600000,11200000,21700000,9000000,0
42,2,1,0,1.4398218958146511,1.0800952756792448,16,1.2879977191999799,22300000,12100000,31000000,5200000,0
43,3,0,0,-1.3037981432504273,-1.2976173775297992,6,-0.347636330322272,200000,1500000,3900000,800000,1
44,2,0,1,-1.5175867177230307,-1.4192677923451458,12,-1.4960602374336405,2200000,1300000,1800000,800000,1
45,5,0,0,0.5134047397667025,-0.19170451557210436,18,1.0849934931954452,18200000,300000,16200000,5400000,0
46,4,0,0,1.0478761759482114,1.4008100056469763,16,-1.5598615656064942,13000000,6300000,21400000,10900000,1
47,3,1,1,-0.30611812904494423,-0.05899497213718096,6,0.4585804529528806,2400000,6900000,8700000,4900000,0
48,1,0,1,-0.05669812549357349,0.4386658157437818,14,0.44698021146690714,5400000,9100000,17700000,6500000,0
49,3,1,0,0.15709044897903002,0.593493616417859,12,0.19757501951847864,800000,8600000,18500000,8200000,0
50,1,1,1,1.58234761212972,0.4386658157437818,16,0.3599784003221065,100000,10500000,37700000,11700000,0
51,4,0,0,0.7984561723968405,1.1353909187771296,16,-0.568040918555767,500000,1800000,20500000,10500000,1
52,2,0,0,1.297296179499582,1.057977018440091,10,-0.9566490083358764,6800000,3500000,21800000,11300000,1
53,5,1,0,-0.4486438453600132,-0.8331339755075674,4,0.5165816603827477,8700000,100000,9300000,3400000,0
54,1,1,1,1.1904018922632802,0.8699718319072828,12,0.33097779660717297,15400000,14800000,31900000,8200000,0
55,2,0,1,0.01456473266396101,0.5050205874612435,20,-0.057630293172936546,7400000,9300000,19400000,3400000,0
56,5,1,0,0.5846675979242371,1.035858761200937,12,1.264797236228033,1200000,5600000,16300000,6200000,0
57,2,1,0,-0.27048669996617697,-0.501360116920259,18,-0.9798494913078233,2100000,1500000,9300000,5200000,1
58,5,0,1,1.5110847539721854,1.699406478375554,18,1.3982000133167274,19300000,10300000,34600000,8700000,0
59,1,0,0,0.8340876014756078,0.3612519154067431,20,-1.0378506987376903,18500000,9100000,17500000,4100000,1
60,4,1,1,0.15709044897903002,0.3391336581675892,16,1.1429947006253123,-100000,4900000,18600000,4800000,0
61,2,1,0,1.2260333213420476,0.4165475585046278,18,-0.7072438163874479,23800000,16300000,25900000,11400000,1
62,3,1,1,1.6179790412084873,1.699406478375554,18,0.4005792455230135,4700000,1900000,26500000,9300000,0
63,5,1,1,1.3329276085783492,1.5224604204623227,6,-1.3626574603449462,24400000,8600000,27400000,4700000,1
64,3,1,1,-0.6268009907538495,-0.8441931041271443,20,-0.08083077614488339,1600000,5600000,10500000,2900000,0
65,4,0,1,-0.413012416281246,-0.31335493038745077,18,1.067593130966485,7600000,6900000,13100000,2800000,0
66,1,0,0,-0.3417495581237115,-0.5345375027789898,12,-1.3684575810879327,9500000,6100000,14900000,2800000,1
67,3,1,0,1.154770463184513,1.5445786777014767,10,0.6673847997004021,6100000,11900000,24100000,11900000,0
68,0,1,1,-0.840589565226453,-0.5566557600181437,20,0.5397821433546945,200000,1700000,5900000,1400000,1
69,4,0,0,0.19272187805779725,-0.30229580176787385,4,1.026992285765578,5500000,3100000,11800000,5500000,0
70,0,0,0,-1.125640997856591,-1.120671319616568,12,-1.6700638597232418,4000000,2800000,4900000,2400000,1
